"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"ROG",7,0.000479263551197153,0.000798877174905784,0.00054438293986858,0.000488616832396863,0.000122357366026981,0.170975135320885,1,1
"EMG",7,7.11953443346764e-05,0.000141776673040656,0.000172584700799084,0.00057828594619327,0.000831261924230528,3.37721287337772e-05,1,1
"Fp2",7,0.000406675350983274,0.000721640807011219,0.000634122318767523,0.000820103842675063,0.000269833781388717,0.0453963833066957,1,0
"Fp1",7,NA,NA,NA,NA,NA,NA,1,0
"F8",7,0.000388933652507951,0.00069300098647874,0.00061754270708845,0.000868830211825573,0.000291031064454367,0.0295808461365656,1,0
"F7",7,0.00041309852507904,0.000729781089297711,0.000624726038056292,0.000810297027413913,0.000269670598013468,0.0612691947078379,1,0
"F4",7,0.000391742597127921,0.000703176503826191,0.000635369637633999,0.000855822430034621,0.000269010125783394,0.0618937272122822,1,0
"F3",7,0.000399475031728914,0.000716488306377593,0.000638846056198328,0.000840620748576908,0.00025449054647862,0.0753313644248921,1,0
"T4",7,0.000407148802589158,0.0007227917577863,0.000629893199661469,0.000823285235531549,0.000263679029892533,0.0330655552718211,1,0
"T3",7,0.000355090201250709,0.000641836848442019,0.000596807861125235,0.000947919950817941,0.000315556811114724,0.0219420489174942,1,0
"C4",7,0.00039800745608573,0.000712482195358167,0.000640379101479115,0.000845226971209208,0.000251201759269501,0.0737447601848077,1,0
"C3",7,0.000389103325048862,0.00069798024619722,0.000634816879283304,0.000878987505104407,0.000251483966629812,0.0718890734180236,1,0
"T6",7,0.000340922629648761,0.000615842140831345,0.000574550849537874,0.000954344467486581,0.000370808367627375,0.0301881009221521,1,0
"T5",7,0.00037173341831846,0.000667111409548539,0.000608635027567301,0.00090416074028221,0.000298310410940811,0.0300644613495964,1,0
"P4",7,0.000374576014337549,0.000674541054774492,0.000619528046272317,0.000909028330163684,0.000271701064188056,0.0597193485414127,1,0
"P3",7,0.000378359475400658,0.000679101733261703,0.000618482447590739,0.000890541337639502,0.000282912136141511,0.0522043714953048,1,0
"O2",7,0.000354873573908364,0.000644238472302401,0.000603957628125528,0.000953045833160937,0.00029351849569502,0.0500291393204308,1,0
"O1",7,0.000348814969433631,0.000629941774490925,0.00058741814324273,0.000941359222672917,0.000344861131112978,0.04859592554186,1,0
"FZ",7,0.000393627258914351,0.000709233831514175,0.000644027980227055,0.000857127412693074,0.000249024693627919,0.0789638576351716,1,0
"CZ",7,0.00039771566988306,0.000715017984582694,0.00064860121963417,0.000855901619480363,0.000231567245348455,0.100857962852676,1,0
"PZ",7,0.000391350370548688,0.000702277453980532,0.000637971600597234,0.000874545774277644,0.000241734377710072,0.0890224132474202,1,0
"LOG",7,0.000517940819118022,0.000870526202791919,0.000610962765290564,0.000608340813578553,0.000166674055966478,0.348629138971808,1,0
"ROG",7,0.000464330903363117,0.000800342307756839,0.000628333335855022,0.000726374227084861,0.000211182157507517,0.0968296768745616,1,0
"EMG",7,8.92221085471273e-05,0.000176307105776133,0.000213814417320395,0.000685715976865975,0.000831261924230528,0.000136367109872435,1,0
